"","company","total_yearly_compensation","city","years_of_experience","years_at_company","base_salary","stock_grant_value","bonus","gender","Race","Education","compensation","salary","log_total","log_salary","log_compensation","standard_level","exp","year"
"1","amazon",172000,"Seattle",12,2,142000,30000,0,"Male","unknown","unknown",30000,142000,12.0552555697322,11.8635893788121,10.3089859934221,"SWE",0.785494955288857,2018
"2","microsoft",150000,"Seattle",4,0,118000,5000,12000,"Male","unknown","unknown",17000,133000,11.9183972397228,11.7981119259726,9.74102744483773,"SWE",0,2018
"3","google",640000,"Mountain View",11,4,210000,380000,50000,"Male","unknown","unknown",430000,210000,13.3692250178346,12.254867571593,12.9715428132484,"Senior SWE",1.71380717517569,2018
"4","microsoft",230000,"Bellevue",3,0,140000,75000,15000,"Male","unknown","unknown",90000,140000,12.345838935722,11.8494048444231,11.4075760603618,"SWE",0,2018
"5","apple",176000,"Cupertino",3,1,126000,25000,20000,"Female","unknown","unknown",45000,131000,12.0782449558223,11.7829602357419,10.7144399907278,"SWE",1.57098991057771,2018
"6","amazon",207000,"Seattle",5,2,134000,73000,0,"Female","unknown","unknown",73000,134000,12.2404789031537,11.8056025415918,11.1982284186668,"SWE",1.88518789269326,2018
"7","amazon",229000,"Seattle",12,1,156000,12000,61000,"Male","unknown","unknown",73000,156000,12.3414816493391,11.9576176964675,11.1982284186668,"SWE",0.392747477644429,2018
"8","amazon",707000,"Seattle",37,2,160000,347000,2e+05,"Male","unknown","unknown",547000,160000,13.4687873593049,11.9829353441964,13.212205909556,"Senior SWE",0.254755120634224,2018
"9","amazon",345000,"Seattle",8,7,155000,190000,0,"Male","unknown","unknown",190000,155000,12.75130259456,11.9511868474935,12.1547846142867,"Senior SWE",4.1238485152665,2018
"10","google",225000,"New York",4,2,130000,60000,25000,"Male","unknown","unknown",85000,140000,12.3238601256211,11.8494048444231,11.3504183001091,"SWE",2.35648486586657,2018
"11","microsoft",210000,"Seattle",10,10,160000,30000,20000,"Male","unknown","unknown",50000,160000,12.254867571593,11.9829353441964,10.8197982842103,"Senior SWE",4.71296973173314,2018
"12","amazon",975000,"Seattle",24,7,160000,815000,0,"Male","unknown","unknown",815000,160000,13.7901937756205,11.9829353441964,13.6109446192161,"Senior SWE",1.3746161717555,2018
"13","apple",200000,"Cupertino",2,0,125000,50000,25000,"Male","unknown","unknown",75000,125000,12.2060776455177,11.7360770162524,11.2252567257629,"SWE",0,2018
"14","amazon",280000,"San Francisco",4,4,16100,5100,6800,"Male","unknown","unknown",11900,268100,12.5425484535736,12.4991190541686,9.38437770918244,"SWE",4.71296973173314,2018
"15","amazon",230000,"Seattle",5,5,130000,1e+05,0,"Male","unknown","unknown",1e+05,130000,12.345838935722,11.7752974217158,11.5129354649202,"SWE",4.71296973173314,2018
"16","microsoft",229000,"Seattle",8.5,8.5,170000,29000,29000,"Male","unknown","unknown",58000,171000,12.3414816493391,12.0494246834209,10.9682155307592,"Senior SWE",4.71296973173314,2018
"17","amazon",185000,"Seattle",6,1,134000,30000,21000,"Male","unknown","unknown",51000,134000,12.1281165094513,11.8056025415918,10.8396005193574,"SWE",0.785494955288857,2018
"18","microsoft",150000,"Bellevue",0,0,107000,30000,10000,"Female","unknown","unknown",40000,110000,11.9183972397228,11.6082447356423,10.5966597327836,"SWE",0,2018
"19","google",749000,"Mountain View",28,3.5,247000,430000,70000,"Male","unknown","unknown",5e+05,249000,13.5264955976119,12.425212191503,13.1223653774023,"SWE Manager",0.589121216466643,2018
"20","amazon",190000,"Seattle",9,3,115000,75000,0,"Male","unknown","unknown",75000,115000,12.1547846142867,11.6526961029598,11.2252567257629,"SWE",1.57098991057771,2018
"21","microsoft",210000,"Redmond",11,11,164000,24000,21000,"Male","unknown","unknown",45000,165000,12.254867571593,12.0137068134704,10.7144399907278,"Senior SWE",4.71296973173314,2018
"22","apple",205000,"Cupertino",8,4,135000,60000,10000,"Male","unknown","unknown",70000,135000,12.2307701361574,11.8130374648005,11.1562648066437,"SWE",2.35648486586657,2018
"23","google",199000,"San Francisco",1,0,135000,44000,20000,"Male","unknown","unknown",64000,135000,12.2010651288196,11.8130374648005,11.0666539872197,"SWE",0,2018
"24","microsoft",210000,"Redmond",30,18,162000,24000,24000,"Male","unknown","unknown",48000,162000,12.254867571593,11.995357787035,10.7789771230064,"Senior SWE",2.82778183903989,2018
"25","google",330000,"Kirkland",20,6,160000,140000,30000,"Male","unknown","unknown",170000,160000,12.7068509637411,11.9829353441964,12.043559598368,"Senior SWE",1.41389091951994,2018
"26","amazon",220000,"Seattle",8,0,150000,10000,60000,"Male","unknown","unknown",70000,150000,12.3013873707787,11.9183972397228,11.1562648066437,"SWE",0,2018
"27","microsoft",175000,"Redmond",5,2,141000,10000,24000,"Male","unknown","unknown",34000,141000,12.072546967175,11.8565222615337,10.4341452149305,"SWE",1.88518789269326,2018
"28","microsoft",238000,"Sunnyvale",10,5,178000,35000,25000,"Male","unknown","unknown",60000,178000,12.3800301543255,12.089544447236,11.002116507732,"Senior SWE",2.35648486586657,2018
"29","microsoft",350000,"Redmond",20,20,190000,75000,38000,"Male","unknown","unknown",113000,237000,12.7656912906044,12.3758196395176,11.6351519472128,"Senior SWE",4.71296973173314,2018
"30","microsoft",155500,"Redmond",2,0,130000,12500,13000,"Male","unknown","unknown",25500,130000,11.9544074414489,11.7752974217158,10.1464729460639,"SWE",0,2018
"31","microsoft",195000,"Seattle",2,0,130000,31250,33000,"Male","unknown","unknown",64250,130750,12.1807599657379,11.7810500300815,11.0705525668387,"SWE",0,2018
"32","microsoft",200000,"Redmond",6,0,137000,17500,13700,"Male","unknown","unknown",31200,168800,12.2060776455177,12.0364757852971,10.348205424566,"SWE",0,2018
"33","google",227000,"New York",4,2,137000,65000,24500,"Male","unknown","unknown",89500,137500,12.3327097017402,11.8313864687896,11.4020050773849,"SWE",2.35648486586657,2018
"34","microsoft",320000,"New York",15,10,275000,25000,20000,"Male","unknown","unknown",45000,275000,12.676079399771,12.5245300130057,10.7144399907278,"SWE Manager",3.14197982115543,2018
"35","amazon",175000,"Seattle",9,2,152000,12000,10000,"Male","unknown","unknown",22000,153000,12.072546967175,11.9381997363009,9.99884318585288,"SWE",1.04732660705181,2018
"36","amazon",275000,"Palo Alto",3,3,150000,1e+05,20000,"Male","unknown","unknown",120000,155000,12.5245300130057,11.9511868474935,11.6952553550628,"SWE",4.71296973173314,2018
"37","microsoft",160000,"San Francisco",8,1,131000,7000,13000,"Male","unknown","unknown",20000,140000,11.9829353441964,11.8494048444231,9.90353755128617,"SWE",0.589121216466643,2018
"38","amazon",195000,"Seattle",20,2,140000,15000,40000,"Male","unknown","unknown",55000,140000,12.1807599657379,11.8494048444231,10.9151066458675,"SWE",0.471296973173314,2018
"39","microsoft",340000,"Redmond",8,1,2e+05,1e+05,40000,"Male","unknown","unknown",140000,2e+05,12.7367038377645,12.2060776455177,11.8494048444231,"Senior SWE",0.589121216466643,2018
"40","google",208000,"Mountain View",0,0,116000,65000,17000,"Male","unknown","unknown",82000,126000,12.2452981663642,11.7440451224101,11.314486721294,"SWE",0,2018
"41","amazon",240000,"Seattle",5.5,5.5,130000,110000,0,"Male","unknown","unknown",110000,130000,12.3883983689821,11.7752974217158,11.6082447356423,"SWE",4.71296973173314,2018
"42","facebook",270000,"San Francisco",3.5,0,160000,90000,20000,"Male","unknown","unknown",110000,160000,12.5061809416774,11.9829353441964,11.6082447356423,"SWE",0,2018
"43","facebook",209000,"Menlo Park",8,0,140000,55000,14000,"Male","unknown","unknown",69000,140000,12.2500943156245,11.8494048444231,11.141876276228,"SWE",0,2018
"44","google",173000,"Mountain View",1,0,116000,25000,32000,"Male","unknown","unknown",57000,116000,12.06105265381,11.661354090741,10.9508240905224,"SWE",0,2018
"45","google",138000,"Seattle",0,0,94000,30000,14000,"Male","unknown","unknown",44000,94000,11.8350162104899,11.4510606994934,10.6919676399149,"SWE",0,2018
"46","amazon",135000,"Seattle",2,0,105000,5000,25000,"Male","unknown","unknown",30000,105000,11.8130374648005,11.5617251529038,10.3089859934221,"SWE",0,2018
"47","microsoft",220000,"Redmond",7,4,160000,40000,20000,"Male","unknown","unknown",60000,160000,12.3013873707787,11.9829353441964,11.002116507732,"Senior SWE",2.69312556099037,2018
"48","google",500000,"Seattle",25,6,220000,220000,60000,"Male","unknown","unknown",280000,220000,13.1223653774023,12.3013873707787,12.5425484535736,"Senior SWE",1.13111273561595,2018
"49","apple",271000,"Cupertino",12,3,168000,93000,10000,"Male","unknown","unknown",103000,168000,12.5098777898919,12.0317252107486,11.5424939759025,"Senior SWE",1.17824243293329,2018
"50","google",257000,"New York",7,1,156000,78000,23000,"Male","unknown","unknown",101000,156000,12.4568352549204,11.9576176964675,11.5228856967645,"SWE",0.673281390247592,2018
"51","microsoft",190000,"Redmond",6,4,150000,20000,20000,"Male","unknown","unknown",40000,150000,12.1547846142867,11.9183972397228,10.5966597327836,"Senior SWE",3.14197982115543,2018
"52","amazon",350000,"Seattle",9,7,150000,2e+05,0,"Male","unknown","unknown",2e+05,150000,12.7656912906044,11.9183972397228,12.2060776455177,"Senior SWE",3.66564312468133,2018
"53","apple",185000,"San Francisco",0,0,115000,50000,20000,"Male","unknown","unknown",70000,115000,12.1281165094513,11.6526961029598,11.1562648066437,"SWE",0,2018
"54","microsoft",167000,"Redmond",7,7,138000,16000,13000,"Male","unknown","unknown",29000,138000,12.0257550794049,11.8350162104899,10.2750855911327,"SWE",4.71296973173314,2018
"55","facebook",310000,"Boston",5,0,140000,155000,14000,"Male","unknown","unknown",169000,141000,12.6443308022626,11.8565222615337,12.0376599110475,"SWE",0,2018
"56","amazon",164000,"San Francisco",4,2,127000,37000,0,"Male","unknown","unknown",37000,127000,12.0076278043487,11.7519502394255,10.5187002182882,"SWE",2.35648486586657,2018
"57","apple",495000,"Cupertino",10,10,220000,250000,25000,"Male","unknown","unknown",275000,220000,13.1123150617508,12.3013873707787,12.5245300130057,"SWE Manager",4.71296973173314,2018
"58","microsoft",325000,"Redmond",13,13,190000,85000,50000,"Male","unknown","unknown",135000,190000,12.6915835382302,12.1547846142867,11.8130374648005,"SWE Manager",4.71296973173314,2018
"59","amazon",155000,"Palo Alto",2,1,122000,0,27500,"Male","unknown","unknown",27500,127500,11.9511868474935,11.7558794866871,10.2219776466299,"SWE",2.35648486586657,2018
"60","amazon",210000,"Seattle",9,6,118000,87000,0,"Male","unknown","unknown",87000,123000,12.254867571593,11.7199477644028,11.3736748918235,"SWE",3.14197982115543,2018
"61","google",222000,"Seattle",2,2,122000,61000,38000,"Male","unknown","unknown",99000,123000,12.3104371653488,11.7199477644028,11.5028852300758,"SWE",4.71296973173314,2018
"62","microsoft",154000,"Redmond",6,3,132000,8000,14000,"Female","unknown","unknown",22000,132000,11.9447143748812,11.7905647772974,9.99884318585288,"SWE",2.35648486586657,2018
"63","apple",255000,"Cupertino",3,3,130000,1e+05,25000,"Female","unknown","unknown",125000,130000,12.4490227457015,11.7752974217158,11.7360770162524,"SWE",4.71296973173314,2018
"64","google",185000,"Seattle",1.5,0,118000,50000,17000,"Male","unknown","unknown",67000,118000,12.1281165094513,11.6784483779882,11.1124628236349,"SWE",0,2018
"65","google",400000,"Mountain View",6,3,160000,205000,35000,"Male","unknown","unknown",240000,160000,12.899222326087,11.9829353441964,12.3883983689821,"SWE",2.35648486586657,2018
"66","amazon",310000,"Seattle",8,3,146000,164000,0,"Male","unknown","unknown",164000,146000,12.6443308022626,11.8913687499821,12.0076278043487,"SWE",1.76736364939993,2018
"67","google",222000,"Mountain View",2,0,140000,61000,21000,"Male","unknown","unknown",82000,140000,12.3104371653488,11.8494048444231,11.314486721294,"SWE",0,2018
"68","microsoft",160000,"Redmond",6,3,130000,20000,10000,"Male","unknown","unknown",30000,130000,11.9829353441964,11.7752974217158,10.3089859934221,"SWE",2.35648486586657,2018
"69","google",326000,"Seattle",10,4,150000,144000,32000,"Male","unknown","unknown",176000,150000,12.6946557278288,11.9183972397228,12.0782449558223,"SWE",1.88518789269326,2018
"70","facebook",390000,"Seattle",17,1,192000,120000,29000,"Male","unknown","unknown",149000,241000,12.8739045822051,12.3925563618418,11.9117082963145,"SWE",0.277233513631361,2018
"71","amazon",192000,"Irvine",2.5,2.5,131000,61000,0,"Male","unknown","unknown",61000,131000,12.1652558593297,11.7829602357419,11.0186455364637,"SWE",4.71296973173314,2018
"72","facebook",660000,"Menlo Park",10,5,210000,4e+05,50000,"Male","unknown","unknown",450000,210000,13.399996629153,12.254867571593,13.0170050839663,"Senior SWE",2.35648486586657,2018
"73","amazon",195000,"Austin",8,0,145000,0,50000,"Male","unknown","unknown",50000,145000,12.1807599657379,11.8844959179307,10.8197982842103,"SWE",0,2018
"74","apple",270000,"Cupertino",10,1,170000,80000,20000,"Male","unknown","unknown",1e+05,170000,12.5061809416774,12.043559598368,11.5129354649202,"Senior SWE",0.471296973173314,2018
"75","apple",205000,"Cupertino",0,0,125000,70000,10000,"Male","unknown","unknown",80000,125000,12.2307701361574,11.7360770162524,11.2897944135779,"SWE",0,2018
"76","amazon",275000,"Seattle",8,6,145000,130000,0,"Male","unknown","unknown",130000,145000,12.5245300130057,11.8844959179307,11.7752974217158,"Senior SWE",3.53472729879986,2018
"77","microsoft",162000,"Redmond",4,4,126000,20000,16000,"Male","unknown","unknown",36000,126000,11.995357787035,11.7440451224101,10.4913019948302,"SWE",4.71296973173314,2018
"78","microsoft",310000,"Seattle",15,12,190000,56000,57000,"Male","unknown","unknown",113000,197000,12.6443308022626,12.1909640838494,11.6351519472128,"SWE Manager",3.77037578538652,2018
"79","apple",400000,"Cupertino",10,5,180000,0,16000,"Female","unknown","unknown",16000,384000,12.899222326087,12.8584004357331,9.68040649926887,"Senior SWE",2.35648486586657,2018
"80","facebook",202500,"Menlo Park",1,0,115000,37500,50000,"Male","unknown","unknown",87500,115000,12.2185001037881,11.6526961029598,11.3794055008518,"SWE",0,2018
