,title,status,pros,cons,review,rating
0,Dream job,Software Engineer(Current Employee),,,"This is one of the best place to work in the world. I couldn't ask for more. The culture is amazing, the benefits are unbeatable, well that's Google, I'm blessed to be working here",5.0
1,"Worked as a contractor software engineer, work time flexibility was great but worker empowerment was low for contractors.",Software Engineer Contractor(Former Employee),,,"Worked as a contractor software engineer, work time flexibility was great but worker empowerment was low for contractors. Contractors are treated as second-class citizens within Google.",5.0
2,Productive and fun workplace,Software Engineer(Former Employee),,,It was a fun and interesting experience. Lots of handson and i truly learn a lot. It was an invaluable experience working with my team and i have grown,5.0
3,Great company to work for!,Quality Assurance Specialist(Current Employee),,,One of the best companies to work for overall. Very stable company and provides opportunities for career advancement. The culture is great too where they help you to succeed in your role.,5.0
4,Best Workplace,Software Engineer(Current Employee),,,"Google is a great work place. They pay well and respect their employees. Team change is flexible, your manager can stop your moving if your tenure in the current team is more than a year. You can make impact doing what interests you. This makes Google the best place to work",5.0
5,Great benifits,Software Engineer(Current Employee),,,Great pay and benifits! Plenty of vacation time and great office space. Getting a promotion can be difficult due to needing community contributions and having done high profile work.,4.0
6,Really great place to work,Software Engineer(Current Employee),,,Really good colleagues and smart people to work with. The work satisfaction is very high as your work will be used by millions of people around the world.,4.0
7,Not Applicable,Software Developer(Former Employee),,,"Fairly good company to work for long term.I’ve enjoyed my career here for a compilation of years now.If I could do it all over, I wouldn’t wish to take another path than the one chosen for me.",5.0
8,Productive & fun workplace,Software Developer(Current Employee),,,"Culture is enabling and inclusive, and gives good opportunity to have a work life balance.Lots of people engagement activities are a part of the workplace culture, and also helping out employees in the covid situation, through new policies in all aspects such as comfort, mental and physical well being, and technical enablement. Allows growth in various dimensions apart from core job.",5.0
9,Great working place,Software Engineer(Current Employee),,,Really nice working place and people here are soooo nice. The new ideas can be discussed freely hence we all eager for the communication. and maybe the good communication environment is the most important thing in company.,5.0
10,Personal Growth and Perfect Experience,Software Engineer(Current Employee),"Benefits, Free lunch, Gym, Billiard",Nothing,"Helpful team members; challenging but fun projects; excellent benefits and perks; flexible working mode; great package. If you are pursuing personal growth, this is the right place!",5.0
11,It's a great company,Software Engineer(Current Employee),,,"Good pay, not too much work, not too much stress, good benefits, etc.What else is there to say? Google is google. Let me hit the 150 character minimum please",5.0
12,Meh,Software Engineer(Former Employee),,,Bureaucratic. Managers can be condescending.  Very fun work and bright people though. There is also a level of prestige. Telling someone you work at google is cool.,3.0
13,fun place to work at,Software Engineer(Current Employee),fun envirement,overtime,i learned to code better and allot of people are very freindly we get free lunch and coffee sometimes there are black outs but that is alright and we make sure to we also get a free computer to use,5.0
