"","age","total.working.exp","current.exp","base_salary","compensation","General.Question","Work.life.Balance_1","Work.life.Balance_2","Heavy.Workload_1","Heavy.Workload_2","Management_1","Management_2","quit_1","women.senior_1","women.senior_2","women.senior_3","women.senior_4","role.model_1","market.value_1","Salary.Negotiation_1","Salary.Negotiation_2","Salary.Negotiation_3","gender","level","review","feedback","combined_company","combined_location","standard_race","standard_edu","num_level","coded_general","competitive","comfortable","wlb","workload","manage","negotiation","logged_base","logged_compensation"
"1",34,4,2,1e+05,2500,2,1,1,1,1,1,-1,1,2,2,2,1,-1,1,1,-1,1,"Female","Manager or higher","enjoy my current work","","unknown","unknown","Asian","BA",3,0,0,-1,1,1,0,0.333333333333333,11.5129354649202,7.82444593087762
"2",26,10,10,1e+05,7e+05,1,1,2,2,1,1,2,1,1,-2,-1,1,1,2,1,2,-1,"Female","Junior","It<U+00A1><U+00AF>s good I like it ","It<U+00A1><U+00AF>s very good","Business incorporated ","Orlando ","Underrepresented Racial Groups","HS grad",1,1,-2,3,1.5,1.5,1.5,0.666666666666667,11.5129354649202,13.458837042596
"3",40,10,9,1e+05,2e+05,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,"Male","Senior","I think it's tiring but I love it","none","unknown","unknown","White","MA or higher",2,1,2,0,0,0,1,0.333333333333333,11.5129354649202,12.2060776455177
"4",47,5,5,79000,15000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Female","Manager or higher","To make internet speeds faster ","Very nice survey ","unknown","unknown","White","BA",3,0,0,0,2,2,2,2,11.2772157895969,9.61587214452889
"5",34,1,1,25000,0,2,1,-2,-1,1,2,2,1,2,2,2,2,-1,1,2,2,1,"Female","Junior","It a great job an still learning ","No","unknown","unknown","White","HS grad",1,0,0,0,-0.5,0,2,1.66666666666667,10.1266711030504,0
"6",38,2,2,55000,15000,2,1,1,1,2,1,1,2,1,1,2,1,-1,1,1,1,2,"Female","Junior","It's a hard job but it's worth it","Nothing","unknown","unknown","White","BA",1,0,1,0,1,1.5,1,1.33333333333333,10.9151066458675,9.61587214452889
"7",48,30,20,35000,10000,2,1,-1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,"Male","Senior","I enjoy the task at hand","","unknown","unknown","White","Non-BA education",2,0,1,0,0,1,1,1.33333333333333,10.463131911492,9.21044036697652
"8",33,5,5,35000,0,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,"Female","Senior","I really enjoy it","","unknown","Sarasota ","Asian","BA",2,0,0,0,0,1,1,-0.333333333333333,10.463131911492,0
"9",31,7,3,59000,0,2,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,"Female","Manager or higher","ItIt's been an interesting turn of events working for this company but has been enjoyable. I look forward to getting back to what I specifically do best
","Nothing comes to mind at this time.","unknown","unknown","White","BA",3,0,-2,2,0,0,0,0.333333333333333,10.9853096718968,0
"10",41,15,7,75000,10000,2,-1,-2,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,"Male","Senior","It's a fun job ","Nothing at the moment ","unknown","unknown","White","BA",2,0,0,0,-1.5,0,1,1,11.2252567257629,9.21044036697652
"11",35,2,2,20000,29000,2,1,-1,1,1,2,-2,2,2,2,2,2,-2,-2,2,-2,-2,"Female","Manager or higher","Nothing to say ","No","unknown","Scottsbluff ","Underrepresented Racial Groups","HS grad",3,0,0,0,0,1,0,-0.666666666666667,9.90353755128617,10.2750855911327
"12",39,2,2,40000,1000,2,-2,-2,-2,1,2,-2,2,2,2,2,2,-2,2,1,2,2,"Female","Junior","I enjoy it","","Alpha logistics","Houston","Asian","HS grad",1,0,0,0,-2,-0.5,0,1.66666666666667,10.5966597327836,6.90875477931522
"13",62,35,23,80000,45000,2,1,-2,1,-2,1,-1,1,1,1,1,1,1,1,1,1,1,"Female","Manager or higher","Spread sheets are always fun","","unknown","unknown","White","Non-BA education",3,0,0,0,-0.5,-0.5,0,1,11.2897944135779,10.7144399907278
"14",23,1,1,50000,0,2,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,"Male","Junior","It's great","","unknown","unknown","White","Non-BA education",1,0,2,0,-1,0,0,1,10.8197982842103,0
"15",44,3,3,59000,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,"Female","Junior","I enjoy the different experience of a unique trade","","unknown","unknown","Underrepresented Racial Groups","Non-BA education",1,1,-2,-2,-1,-1,-1,-1,10.9853096718968,0
"16",40,2,2,60000,10000,2,-1,-1,-1,-1,1,-2,2,1,2,1,2,1,-1,1,1,2,"Female","Junior","Keeps me busy and interested ","","unknown","Lumberton ","White","Non-BA education",1,0,0,0,-1,-1,-0.5,1.33333333333333,11.002116507732,9.21044036697652
